map_index,doc_id,title,doi,year,venue,cluster,x,y
0,KM0001,Tensile strength distribution of carbon fibers at short gauge lengths,10.1080/09243046.2014.915120,2014,,1,-0.882468,-0.09565
1,KM0002,Multiscale approach to predict crack initiation in unidirectional off-axis laminates,10.1080/09243046.2014.915100,2014,,2,-0.186685,0.756345
2,KM0003,Experimental and numerical studies of initial cracking in CFRP cross-ply laminates,10.1016/j.compositesa.2014.09.020,2014,,2,0.047995,0.74819
3,KM0004,13.2 A Brief Historical Review of Matrix Crack Modeling,10.1007/978-3-319-19440-0_13,2015,,2,-0.274243,0.886607
4,KM0005,Smoothed particle hydrodynamics in a generalized coordinate system with a finite-deformation constitutive model,10.1002/nme,2015,,0,0.615478,0.734784
5,KM0006,Torsional modulus and internal friction of polyacrylonitrileand pitch-based carbon fibers,10.1007/s10853-011-5872-2,2015,,3,-1.0,-1.0
6,KM0007,Numerical simulation of damage progression and fracture in structures made of 3D woven ceramic matrix composites,10.1080/09243046.2015.1075672,2015,,0,-0.817017,0.567584
7,KM0008,Molecular dynamics simulation of crosslinked epoxy resins: Curing and mechanical properties,10.1016/j.eurpolymj.2016.04.019,2015,,3,0.784942,-0.719293
8,KM0009,Tensile failure phenomena in carbon fibres,10.1016/j.carbon.2016.06.037,2016,,1,-0.674029,-0.580345
9,KM0010,Multi-objective optimization for resin transfer molding process,10.1002/pc.23826,2016,,3,-0.126736,-0.887522
10,KM0011,Multiscale modeling of free-surface effect on crack formation in unidirectional off-axis laminates,10.1016/j.compositesa.2017.03.016,2016,,2,-0.414892,0.890152
11,KM0012,Clustering Approach for Multidisciplinary Optimum Design of Cross-Linked Polymer,10.1002/mats.201600072,2016,,3,0.560039,-0.83656
12,KM0013,Numerical simulation of progressive damage and failure in composite laminates using XFEM/CZM coupled approach,10.1002/adma.201101683,2016,,4,-0.611837,0.581373
13,KM0014,Progressive failure under high-velocity impact on composite laminates: Experiment and phenomenological mesomodeling,10.1016/j.engfracmech.2017.03.019,2016,,4,-0.819359,0.412268
14,KM0015,Prediction for progression of transverse cracking in CFRP cross-ply laminates using Monte Carlo method,10.1080/09243046.2017.1325076,2017,,0,-0.117987,0.905664
15,KM0016,Fracture behavior of diamondlike carbon films deposited on polymer substrates,10.1116/1.5003683,2018,,3,-0.566805,-0.754956
16,KM0017,Investigating nanostructures in carbon bres using Raman spectroscopy,10.1016/j.carbon.2017.12.108,2017,,3,-0.79788,-0.722839
17,KM0018,Continuum damage mechanics modeling of composite laminates including transverse cracks,10.1177/1056789517711238,2018,,0,0.25263,0.922838
18,KM0019,Analysis of structure characteristics in laminated graphene oxide nanocomposites using molecular dynamics simulation,10.1080/09243046.2017.1407278,2018,,3,0.178528,-0.541537
19,KM0020,A study of stress concentrations around fiber breaks in unidirectional CF/epoxy composites using double-fiber fragmentation tests,10.1080/09243046.2017.1416567,2016,,1,-0.843318,0.07209
20,KM0021,Numerical study for tensile strength prediction of unidirectional carbon fiber-reinforced composite considering fiber surface stress concentration,10.1299/mej.19-00020,2019,,1,-0.838325,0.22114
21,KM0022,A multiscale model for the synthesis of thermosetting resins: From the addition reaction to cross-linked network formation,10.1016/j.cplett.2019.02.012,2001,,3,0.68051,-0.827816
22,KM0023,Stiffness and permeability multi-objective optimization of carbon-fiber-reinforced plastic mesostructures using homogenization method,10.1177/0021998318812160,2019,,0,0.887836,0.578608
